name,place,found_time,image,source,source_site,source_url,remark
中國人壽保險資料,嘉義站，車上,2014/05/30,"",嘉義市中山路528號(含前、後站),台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130015,牛皮紙袋
掌廚粉紅色保溫杯,斗南站，車上,2014/05/30,"",嘉義市中山路528號(含前、後站),台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130016,""
咖啡色手機皮套,嘉義站，車上,2014/05/30,"",嘉義市中山路528號(含前、後站),台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130017,G-PLUS盒子
墨綠色摺傘,斗六站，車上,2014/05/30,"",嘉義市中山路528號(含前、後站),台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130018,""
衣服,潭子站，車上,2014/05/30,"",嘉義市中山路528號(含前、後站),台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130019,灰色手提袋
手機,花蓮站，車上,2014/05/30,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130020,""
手機,花蓮站，車上,2014/05/31,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130021,""
手提袋,花蓮站，花蓮站,2014/05/30,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130022,""
手機,花蓮站，車上,2014/05/31,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130023,""
行李2件,花蓮站，車上,2014/05/31,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130024,""
手提包,花蓮站，車上,2014/05/31,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130025,""
背包,花蓮站，車上,2014/05/31,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130026,""
行李,花蓮站，車上,2014/05/31,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130027,""
皮夾,花蓮站，車上,2014/05/31,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130028,""
手機,花蓮站，花蓮站,2014/05/31,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130029,""
行動電源,花蓮站，車上,2014/05/31,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130030,""
水壺,花蓮站，車上,2014/05/30,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130031,""
藍色包,花蓮站，車上,2014/05/30,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130032,""
零錢包,花蓮站，車上,2014/05/31,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130033,""
1000元磁卡,彰化站，彰化站,2014/05/28,"",彰化市三民路1號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130034,""
折傘,松山站，車上,2014/05/29,"",臺北市中正區黎明里北平西路3號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130035,靛藍色自動傘
小錢包(鑰匙),板橋站，車上,2014/05/29,"",臺北市中正區黎明里北平西路3號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130036,紅底白點
食品,松山站，車上,2014/05/30,"",臺北市中正區黎明里北平西路3號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130037,雅記年輪
手機,羅東站，車上,2014/05/31,"",臺北市中正區黎明里北平西路3號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130038,三星黑色智慧型
後背包,板橋站，板橋站,2014/05/31,"","",台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130039,藍黑格紋
現金若干,臺北站，臺北站,2014/05/30,"",臺北市中正區黎明里北平西路3號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130040,一百元
藍色包包,花蓮站，花蓮站,2014/05/31,"",臺北市中正區黎明里北平西路3號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130041,愛迪達，內有衣服、雨傘等
手提袋(鞋子),桃園站，車上,2014/05/31,"",臺北市中正區黎明里北平西路3號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130042,藍色袋，內有紅色NIKE鞋子
歌本,桃園站，車上,2014/05/29,"","",台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130043,橘色
手機,桃園站，車上,2014/05/29,"","",台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130044,黑色samsung
深咖啡皮夾,中壢站，車上,2014/05/30,"","",台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130045,陳壹琮 L123994943 現金1900
孩童後背包,臺中站，臺中站,2014/05/30,"","",台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130046,粉色
車票夾(悠遊卡),高雄站，高雄站,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130047,""
蛋糕,花蓮站，花蓮站,2014/05/31,"","",台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130048,橘村屋
皮夾(現金若干 證件),永康站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130049,""
玩具車,高雄站，高雄站,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130050,""
安全帽,高雄站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130051,""
保溫瓶,松山站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130052,""
保溫瓶,高雄站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130053,""
保溫瓶,高雄站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130054,""
紙袋(衣服),高雄站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130055,""
帽子,高雄站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130056,""
外套,高雄站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130057,""
帽子,高雄站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130058,""
外套,高雄站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130059,""
紙袋(食品),屏東站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130060,""
外套,臺南站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130061,""
紙袋(衣物 食品等),高雄站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130062,""
衣服,高雄站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130063,""
錢包(現金若干 證件),高雄站，高雄站,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130064,""
套子(悠遊卡),高雄站，高雄站,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130065,""
傘,高雄站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130066,""
衣服,高雄站，高雄站,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130067,""
小皮夾(證件 金融卡等),臺南站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130068,""
鋰 離子電 池,新左營站，新左營站,2014/06/01,"","",台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130069,黑色
手機,新左營站，新左營站,2014/06/01,"","",台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130070,黑色
"塑袋(衣服,食品)",高雄站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130071,""
塑袋(水果),高雄站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130072,""
黑色手機,高雄站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130073,""
黑色手機,臺南站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130074,""
粉紅色手機,花蓮站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130075,""
書,高雄站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130076,""
鏡頭,枋寮站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130077,""
水壺,屏東站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130078,""
傘,高雄站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130079,""
外套,高雄站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130080,""
外套,臺南站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130081,""
背包(傘),新營站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130082,""
"小錢包(一卡通,現金)",高雄站，高雄站,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130083,""
相機,新左營站，車上,2014/05/31,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130084,""
藍色手機,高雄站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130085,""
傘,高雄站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130086,""
手機,花蓮站，車上,2014/05/31,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130087,""
行李箱,花蓮站，車上,2014/06/01,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130088,""
紙袋,新竹站，新竹站,2014/05/31,"",基隆市仁愛區文昌里港西街5號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130089,貝殼 紙蓮花
食物,中壢站，車上,2014/05/31,"",新北市板橋區縣民大道二段7號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130090,白色塑膠袋
花蓮名產,中壢站，車上,2014/05/31,"",新北市板橋區縣民大道二段7號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130091,橘色袋子
皮夾,花蓮站，車上,2014/06/01,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130092,8200元
行李箱,花蓮站，車上,2014/06/01,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130093,""
餅乾,花蓮站，車上,2014/06/01,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130094,""
衣服,花蓮站，花蓮站,2014/06/01,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130095,""
鞋子,花蓮站，車上,2014/05/31,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130096,""
安全帽,臺中站，車上,2014/05/27,"",雲林縣斗六市信義里民生路187號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130097,紅色
果汁機,彰化站，車上,2014/05/30,"",雲林縣斗六市信義里民生路187號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130098,大同牌
識別證,臺南站，車上,2014/05/31,"",雲林縣斗六市信義里民生路187號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130099,""
手機,大甲站，車上,2014/06/01,"",雲林縣斗六市信義里民生路187號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130100,黑色
塑袋:鞋子 衣服,高雄站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130101,""
"皮夾:證件,現金若干",高雄站，高雄站,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130102,""
袋子:現金若干,高雄站，高雄站,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130103,""
"錢包:證件,現金若干",高雄站，高雄站,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130104,""
塑袋:女鞋,高雄站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130105,""
紙袋:衣服,嘉義站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130106,""
眼鏡,高雄站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130107,""
背包:衣物,高雄站，車上,2014/06/02,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130108,""
鑰匙,高雄站，高雄站,2014/06/02,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130109,""
保溫杯,高雄站，車上,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130110,""
紙袋:食品,楠梓站，車上,2014/06/02,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130111,""
平板電腦,高雄站，車上,2014/06/02,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130112,""
現金若干,高雄站，高雄站,2014/06/01,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130113,""
皮包,枋寮站，車上,2014/05/30,"","",台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130114,黑色
手機,枋寮站，車上,2014/06/01,"","",台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130115,白色
手提包,臺北站，車上,2014/06/02,"","",台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130116,紫色
保冰袋,新左營站，新左營站,2014/06/02,"","",台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130117,""
皮夾,臺北站，車上,2014/06/02,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130118,""
手機,花蓮站，車上,2014/06/02,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130119,""
地瓜酥,花蓮站，車上,2014/06/02,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130120,""
皮夾,花蓮站，花蓮站,2014/06/02,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130121,""
風衣,花蓮站，車上,2014/06/01,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130122,""
腳架,花蓮站，車上,2014/06/02,"",花蓮市國聯一路100號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130123,""
皮夾,鳳山站，鳳山站,2014/06/02,"",高雄市鳳山區曹公路68號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130124,黑色長形皮夾
斜背包,板橋站，板橋站,2014/06/01,"",新北市板橋區縣民大道二段7號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130125,軍綠色
名產,新豐站，車上,2014/06/01,"",新北市板橋區縣民大道二段7號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130126,福義軒X2
識別證,臺北站，車上,2014/06/02,"","",台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130127,東森電視
洗髮睛、妙鼻貼,基隆站，車上,2014/06/02,"","",台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130128,台隆紙袋
手機,蘇澳站，車上,2014/06/03,"",宜蘭縣蘇澳鎮蘇南里太平路1號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130129,香檳色
黑色手機,松山站，松山站,2014/05/16,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130130,S牌
資料夾,松山站，松山站,2014/05/16,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130131,""
藍色背包,松山站，車上,2014/05/16,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130132,張X帆
名產,松山站，車上,2014/05/16,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130133,紅袋
紙袋(被套),臺北站，車上,2014/06/02,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130134,""
工具箱,臺南站，車上,2014/06/03,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130135,""
紅色包包,松山站，松山站,2014/05/17,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130136,小孩用品
悠遊卡,松山站，松山站,2014/05/17,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130137,松山家商學生證
手提袋,臺中站，車上,2014/06/02,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130138,""
藍色鴨舌帽,松山站，松山站,2014/05/17,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130139,中天電視
黑皮夾,松山站，車上,2014/05/17,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130140,"證件,禮卷"
鐵灰色手機,屏東站，車上,2014/06/02,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130141,""
隨身碟,松山站，松山站,2014/05/17,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130142,銀白色
橘色袋子,花蓮站，車上,2014/05/18,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130143,"傘,毯子"
白色手機,高雄站，車上,2014/06/02,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130144,""
藍點雨傘,松山站，車上,2014/05/18,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130145,透明
墨鏡,臺中站，臺中站,2014/05/27,"",臺中市建國路172號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130146,""
桃紅色眼鏡,松山站，松山站,2014/05/18,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130147,""
紙盒,臺南站，車上,2014/06/03,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130148,""
CASIO相機,臺中站，臺中站,2014/05/28,"",臺中市建國路172號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130149,""
水壺,高雄站，車上,2014/06/02,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130150,""
"手提袋(衣服,雜物)",高雄站，車上,2014/06/03,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130151,""
背包(衣服),高雄站，車上,2014/06/03,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130152,""
灰色外套,松山站，松山站,2014/05/18,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130153,""
保溫杯,臺南站，車上,2014/06/03,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130154,""
安全帽,高雄站，車上,2014/06/03,"",高雄市三民區建國二路318號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130155,""
可摺雨傘,松山站，車上,2014/05/18,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130156,格子狀
手機,松山站，松山站,2014/05/19,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130157,紅套子
灰色袋子,松山站，松山站,2014/05/19,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130158,衣物
登山帽,臺中站，臺中站,2014/06/02,"",臺中市建國路172號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130159,米色
小錢包,臺中站，臺中站,2014/06/02,"",臺中市建國路172號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130160,綠色
手機,松山站，車上,2014/05/19,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130161,粉紅
全新衣服 紙袋裝,臺中站，臺中站,2014/06/02,"",臺中市建國路172號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130162,""
夾腳鞋,臺北站，車上,2014/06/30,"",新北市樹林區樹北里鎮前街112號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130163,""
小錢包,樹林站，樹林站,2014/05/31,"",新北市樹林區樹北里鎮前街112號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130164,LV 零錢 發票
皮夾,樹林站，車上,2014/05/31,"",新北市樹林區樹北里鎮前街112號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130165,4800元 證件
黑皮夾,花蓮站，車上,2014/05/31,"",新北市樹林區樹北里鎮前街112號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130166,羅添貴
深背包,樹林站，樹林站,2014/05/31,"",新北市樹林區樹北里鎮前街112號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130167,衣物 傘 水壺
耳機,南港站，南港站,2014/05/31,"",臺北市南港區南港路1段313號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130168,""
黑手機,樹林站，車上,2014/05/31,"",新北市樹林區樹北里鎮前街112號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130169,有記憶卡
黑色外套,松山站，松山站,2014/05/19,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130170,女裝
電子書閱讀器,樹林站，車上,2014/06/01,"",新北市樹林區樹北里鎮前街112號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130171,藍色 慈濟
雷德利一族小說,板橋站，車上,2014/05/19,"",臺北市信義區永吉里松山路11號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130172,書本
瓷器 桌布 黑紙袋,臺北站，車上,2014/05/31,"",新北市樹林區樹北里鎮前街112號,台鐵,http://www.railway.gov.tw/tw/lost_Detail.aspx?SN=130173,""
